National ID,BIC Code,Financial Institution Name,Branch Name,City,Branch Address,Zip Code,Location,Country
30300,ABLPLT21,AB Lietuvos pastas,,Vilnius,J.Jasinskio St 16,3500,,Lithuania
40100,AGBLLT2X,Luminor Bank AS Lithuania branch,,Vilnius,Konstitucijos  Ave. 21A,3601,,Lithuania
21400,AGBLLT2X,Luminor Bank AS Lithuania branch,,Vilnius,Konstitucijos  Ave. 21A,3602,,Lithuania
34200,BAXXLT22,"Banxe, UAB",,Vilnius,Lvovo St 25-104,9320,,Lithuania
20900,BIGKLT21,Bigbank AS Branch,,Vilnius,Jogailos St 4,1116,,Lithuania
31300,BZENLT22,UAB ZEN.COM,,Vilnius,Mesiniu St. 5,1133,,Lithuania
34100,CBNULT2V,CBI Money UAB,,Vilnius,Konstitucijos  Ave. 21A,8130,,Lithuania
70500,CBSBLT26,AB Siauliu bankas,"AB Siauliu bankas (former AB bankas ""Finasta"")",Siauliai,Tilzes St 149,76348,,Lithuania
71800,CBSBLT26,AB Siauliu bankas,,Siauliai,Tilzes St 149,76348,,Lithuania
71802,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Kelme client service center,Kelme,S.Dariaus ir S.Gireno St 5,86135,,Lithuania
71803,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Vilnius branch,Vilnius,Verkiu St 37,9109,,Lithuania
71804,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Kursenai client service center,Kursenai,J.Basanaviciaus St 9,81156,Siauliu District,Lithuania
71805,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Klaipeda branch,Klaipeda,Taikos Ave. 66,93219,,Lithuania
71806,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Palanga client service center,Palanga,Gintaro St 46,133,,Lithuania
71807,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Siluteclient service center,Silute,Lietuvininku St 17,99134,,Lithuania
71808,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Mazeikiai client service center,Mazeikiai,Laizuvos St 14,89213,,Lithuania
71809,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Kaunas branch,Kaunas,Vytauto Ave. 56,44237,,Lithuania
71810,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Vilkaviskis client service center,Vilkaviskis,J.Basanaviciaus Ave. 3,70101,,Lithuania
71811,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Utena client service center,Utena,Utenio Ave. 22,28248,,Lithuania
71812,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Alytus client service center,Alytus,S.Dariaus ir S.Gireno St 1,62137,,Lithuania
71813,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Taurage client service center,Taurage,Vytauto St 76,72216,,Lithuania
71814,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Radviliskis client service center,Radviliskis,Ausros Ave. 1,82123,,Lithuania
71815,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Panevezys client service center,Panevezys,Elektros St 6,35183,,Lithuania
71816,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Birstonas client service center,Birstonas,Jaunimo St 3 ,59206,,Lithuania
71817,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Telsiai client service center,Telsiai,Respublikos St 6A,87130,,Lithuania
71818,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Marijampole client service center,Marijampole,Kestucio St 9,68308,,Lithuania
71819,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Druskininkai client service center,Druskininkai,M.K.Ciurlionio St 111,66161,,Lithuania
71820,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Plunge client service center,Plunge,Telsiu St 1-2A,90162,,Lithuania
71821,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Anyksciai client service center,Anyksciai,J.Biliuno St 7,29113,,Lithuania
71822,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Visaginas client service center,Visaginas,Parko St 7,31130,,Lithuania
71823,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Kedainiai client service center,Kedainiai,Basanaviciaus St 47C,57283,,Lithuania
71824,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Ukmerge client service center,Ukmerge,Kestucio Ave. 7,20114,,Lithuania
71825,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Birzai client service center,Birzai,J.Janonio Ave. 5,41171,,Lithuania
71826,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Jonava client service center,Jonava,Vasario 16-osios St 7,55170,,Lithuania
71827,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Zarasai client service center,Zarasai,Seliu  Ave. 16,32107,,Lithuania
71828,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Rokiskis client service center,Rokiskis,Vytauto St 1,42114,,Lithuania
71829,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Kupiskis client service center,Kupiskis,Vytauto St 8,40115,,Lithuania
71830,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Raseiniai client service center,Raseiniai,Dubysos St 2,60146,,Lithuania
71899,CBSBLT26,AB Siauliu bankas,AB Siauliu bankas Head office,Siauliai,Tilzes St 149,76348,,Lithuania
70440,CBVILT2X,AB SEB bankas,,Vilnius,Gedimino Ave. 12,1103,,Lithuania
34700,CLUALT22,"Clearshift, UAB",,Vilnius,Upes St. 23,8128,,Lithuania
37400,CNUALT21,"UAB ""ConnectPay""",,Vilnius,Mesiniu St 5,1133,,Lithuania
51700,CRUGLT21,Credit union "Saulegraza",,Vilnius,A. Jaksto St 12,1105,,Lithuania
90577,CSDLLT22577,Nasdaq CSD SE Lithuania branch,,Vilnius,Konstitucijos Ave 29,8105,,Lithuania
32700,DSFELT21,"UAB ""DSBC Financial Europe""",,Vilnius,Mesiniu St 5,1133,,Lithuania
37000,EMAULT21,UAB Elektroniniu mokejimu agentura,,Vilnius,Zveju St 14,9310,,Lithuania
32800,EPSULT22,Earthport Payment Services UAB,,Vilnius,Lvovo St. 25-104,9320,,Lithuania
33500,EPUALT22,"UAB ""epayblock""",,Vilnius,Upes St. 23,8128,,Lithuania
71100,EUEBLT22,European Merchant Bank,,Vilnius,Gedimino Ave. 35,1109,,Lithuania
35000,EVIULT2V," ""Paysera LT"", UAB  ",,Vilnius,Pilaites Ave 16,4352,,Lithuania
22500,FJORLT21,"AB ""Fjord Bank"" ",,Vilnius,Konstitucijos Ave 9-101,9308,,Lithuania
38500,GAUALT21,"Galperin, UAB",,Vilnius,Jogailos St 9,1116,,Lithuania
37200,GLPELT21,UAB "Glocash Payment",,Vilnius,Mesiniu St 5,1133,,Lithuania
38800,GLUALT22,"GlobalNetint, UAB",,Vilnius,Lvovo St 25�104,9320,,Lithuania
60024,GRFNLT21 ,"GF bankas, UAB  ",,Vilnius,Ukmerges St 322,12106,,Lithuania
34000,GUPULT22,UAB Guru Pay,,Vilnius,Kalvariju St 125,8221,,Lithuania
73000,HABALT22," ""Swedbank"", AB",,Vilnius,Konstitucijos Ave. 20A,3502,,Lithuania
21200,HANDLT2X,Svenska Handelsbanken AB Lithuania branch,,Vilnius,Gyneju St 16,1109,,Lithuania
39100,IBIULT21,"UAB  ""IBS Lithuania """,,Vilnius,Konstitucijos Ave. 15-69A,9319,,Lithuania
72900,INDULT2X,"AB ""Citadele"" bankas",,Vilnius,K.Kalinausko St 13,3107,,Lithuania
36400,INHULT21,UAB International Fintech,,Vilnius,Jogailos St 4,1116,,Lithuania
50200,JCKULT21,Jungtine centrine kredito unija,,Vilnius,J.Jasinskio St 12,1112,,Lithuania
50109,JCKULT21,Akademine credit union,,Kaunas,Mickeviciaus St 15-2,44310,,Lithuania
50114,JCKULT21,"Credit union ""Kupiskenu taupa""",,Kupiskis,Vytauto St 9-2,40115,,Lithuania
50117,JCKULT21,Credit union Zanavyku bankelis,,Sakiai,Baznycios St 11,71122,,Lithuania
50121,JCKULT21,Aukstaitijos credit union,,Panevezys,Nemuno St 73,37356,,Lithuania
50126,JCKULT21,Birzu credit union,,Birzai,J. Janonio St 2,41148,,Lithuania
50129,JCKULT21,Silales credit union,,Silale,Basanaviciaus St 13,75138,,Lithuania
50139,JCKULT21,Raseiniu credit union,,Raseiniai,Maironio St 10,60151,,Lithuania
50144,JCKULT21,Ignalinos credit union,,Ignalina,Ateities St 25-3,30121,,Lithuania
50147,JCKULT21,Joniskio credit union,,Joniskis,Miesto Sq 4,84148,,Lithuania
50162,JCKULT21,Pareigunu credit union,,Vilnius, Birzelio 23-osios St 15,3206,,Lithuania
50164,JCKULT21,Gyventoju ir smulkaus verslo credit union,,Kaunas,Taikos Ave. 21B,50210,,Lithuania
50500,KRUALT21,"Credit union ""Taupa""",,Vilnius,Kalvariju St 140,8209,,Lithuania
32900,KUFULT22,"Kuan Financial, UAB ",,Vilnius,Gedimino Ave 44A,1110,,Lithuania
51400,KUPRLT21,"Credit union ""Magnus""",,Panevezys,Vilniaus St 25A,36100,,Lithuania
50300,KUSRLT21,"AB ""Mano bankas""",,Vilnius,S. Moniuskos St 27,8115,,Lithuania
50301,KUSRLT24,"AB ""Mano bankas""",,Vilnius,S. Moniuskos St 27,8115,,Lithuania
50100,LCKULT22,Lithuanian Central Credit Union ,,Kaunas,Savanoriu Ave. 363,49425,,Lithuania
50101,LCKULT22,"Credit union ""Suduvos parama""",,Marijampole,Vytauto St 19,68300,,Lithuania
50102,LCKULT22,Silutes credit union,,Silute,Lietuvininku St 32/Kestucio St 1,99179,,Lithuania
50103,LCKULT22,Radviliskio credit union,,Radviliskis,Gedimino St 8,82174,,Lithuania
50104,LCKULT22,Vilkaviskio credit union,,Vilkaviskis,Statybininku St 9,70187,,Lithuania
50105,LCKULT22,Plunges credit union,,Plunge,Senamiescio Ave 5,90162,,Lithuania
